COD,LOCAL,CORREO
C144,TIENDAS SIN BODEGA,
CD03,LINCOYAN,
CD04,TREBOL,j01treb2@fashionspark.com
CD05,BARROS ARANA,j01baran2@fashionspark.com
CD08,ANIBAL PINTO,j01.anibalpinto2@fashionspark.com
CD15,LOGISTEX,
H002,HC PUERTA DEL MAR,hc.pmar@hollyconcept.com
H003,HC PASEO ROSS,hc.ross@hollyconcept.com
H004,HC PLAZA ALAMEDA,hc.palameda@hollyconcept.com
H005,HC PLAZA OESTE,hc.poeste@hollyconcept.com
H006, HC PLAZA TOBALABA,hc.ptobalaba@hollyconcept.com
H007,HC PLAZA EGANA,hc.pegana@hollyconcept.com
H008,HC PLAZA COPIAPO,hc.pcopiapo@hollyconcept.com
H009,HC PLAZA SUR,hc.psur@hollyconcept.com
H010,HC PLAZA VESPUCIO ,hc.pvespucio@hollyconcept.com
H011,HC PLAZA NORTE ,hc.pnorte@hollyconcept.com
H012,HC TREBOL,hc.ptrebol@hollyconcept.com
H013,HC MARINA ARAUCO,hc.marauco@hollyconcept.com
H014,HC PLAZA MAULE,hc.pmaule@hollyconcept.com
H015,HC LA FLORIDA,hc.florida@hollyconcept.com
H026,HOLLY INTERNET,
T002,COLINA,j01.colina@fashionspark.com
T003,MALL CASTRO,j01.paseochiloe@fashionspark.com
T005,MALL VIVO COQUIMBO,j01.vivocoquimbo@fashionspark.com
T006,VILLA ALEMANA,j01.valemana@fashionspark.com
T007,VILLARRICA,j01.villarrica@fashionspark.com
T009,PORTAL TEMUCO,j01.portal.temuco@fashionspark.com
T010,PLAZA ALAMEDA,j01.plazaalameda@fashionspark.com
T011,CURICO,j01cprat@fashionspark.com
T012,AHUMADA,j01.ahumada@fashionspark.com
T013,CAUQUENES,j01.cauquenes@fashionspark.com
T014,SAN VICENTE,j01.sanvicente@fashionspark.com
T015,PLAZA MAULE,j01.plazamaule@fashionspark.com
T017,PASEO COSTANERA,j01.paseocostanera@fashionspark.com
T018,QUILLOTA,j01quillota2@fashionspark.com
T019,TALAGANTE,j01talagante@fashionspark.com
T020,ILLAPEL,j01illapel@fashionspark.com
T022,PUENTE ALTO PLAZUELA,j01palto@fashionspark.com
T023,ARAUCO CORONEL,j01coronel@fashionspark.com
T024,CONSTITUCION,j01consti@fashionspark.com
T025,PAJARITOS,j01plazamaipu@fashionspark.com
T026,TIENDA INTERNET,cristian.naranjo@fashionspark.com
T027,PE?FLOR,j01.penaflor@fashionspark.com
T028,PLAZA VESPUCIO,j01vespu@fashionspark.com
T029,VIVO TEMUCO,j01vivotemuco@fashionspark.com
T031,SAN BERNARDO II,j01.sanbernardodos@fashionspark.com
T033,MALL PLAZA SUR,j01plazasur@fashionspark.com
T034,SAN ANTONIO,j01.sanantonio@fashionspark.com
T035,QUILICURA,j01quilicura@fashionspark.com
T036,SAN FELIPE,j01.felipe@fashionspark.com
T037,COYHAIQUE,j01.coyhaique@fashionspark.com
T038,PLAZA COPIAPO,j01.plazacopiapo@fashionspark.com
T039,TOBALABA,j01toba@fashionspark.com
T040,COQUIMBO,j01coquimbo@fashionspark.com
T041,MELIPILLA,j01.melipilla@fashionspark.com
T042,ANTOFAGASTA,j01.antofagasta2@fashionspark.com
T043,PLAZA OESTE,j01oeste@fashionspark.com
T044,PLAZA NORTE,j01plazanorte@fashionspark.com
T045,IQUIQUE,j01.iquique@fashionspark.com
T046,PANAMERICANA,
T048,PLAZA ANTOFAGASTA,j01antofa@fashionspark.com
T049,PLAZA CALAMA,j01calama@fashionspark.com
T050,LINARES,j01lina@fashionspark.com
T051,INDEPENDENCIA,j01.independencia@fashionspark.com
T052,ESPACIO URBANO ANTOFAGASTA,j01.antofagasta.tres@fashionspark.com
T053,LOS ANGELES,j01angel@fashionspark.com
T054,SANTA CRUZ,j01scruz@fashionspark.com
T055,CHILLAN II,j01.chillan.dos@fashionspark.com
T057,TEMUCO,j01temu@fashionspark.com
T058,SAN CARLOS,j01.sancarlos@fashionspark.com
T060,PUENTE ALTO CENTRO,j01.palto.dos@fashionspark.com
T061,RANCAGUA,j01rcgua@fashionspark.com
T062,CALERA,j01.lacalera@fashionspark.com
T064,ALTO HOSPICIO,j01.hospicio@fashionspark.com
T065,SAN BERNARDO,j01berna@fashionspark.com
T066,LA CISTERNA,j01.lacisterna@fashionspark.com
T068,MALL PASEO ROSS,j01.ross@fashionspark.com
T070,CHILL?,j01chill@fashionspark.com
T071,TALCA,j01talca@fashionspark.com
T074,PLAZA DE ARMAS,j01.parmas@fashionspark.com
T075,SAN JAVIER,j01.sanjavier@fashionspark.com
T077,PASEO PUENTE,j01.paseopuente@fashionspark.com
T078,ANGOL,j01.angol@fashionspark.com
T079,CALAMA II,j01.calama.dos@fashionspark.com
T080,LA LIGUA,j01.laligua@fashionspark.com
T081,MARINA ARAUCO,j01marau@fashionspark.com
T083,LINARES II,j01.linarescentro@fashionspark.com
T084,BUIN,j01buin2@fashionspark.com
T085,COPIAP?j01cop2@fashionspark.com
T086,MAIPU,j01maipu@fashionspark.com
T087,PLAZA VICTORIA,j01valpo@fashionspark.com
T088,PUERTO MONTT,j01varas@fashionspark.com
T089,OSORNO,j01osorn@fashionspark.com
T090,PUERTA DEL MAR,j01.pmar@fashionspark.com
T091,QUILPUE,j01quil3@fashionspark.com
T092,LOS ?GELES II,j01.angeles.dos@fashionspark.com
T093,BUIN III,j01.buintres@fashionspark.com
T094,SANTA ROSA,j01srosa@fashionspark.com
T095,LA SERENA,j01serena@fashionspark.com
T097,PASEO ESTACI?,j01borja@fashionspark.com
T098,IRARRAZAVAL,j01irarrazaval@fashionspark.com
T099,VALDIVIA,j01.valdivia@fashionspark.com
T104,MALL QUILPUE,j01.plazaquilpue@fashionspark.com
T105,FLORIDA CENTER,j01.florida@fashionspark.com
T106,LA UNION,j01.launion@fashionspark.com
T107,RIO BUENO,j01.riobueno@fashionspark.com
T108,ARICA III,j01.arica.tres@fashionspark.com
T109,CANETE II,j01.canete.dos@fashionspark.com
T110,OPEN PLAZA OVALLE,j01.plazaovalle@fashionspark.com
T111,QUILIN ,j01.quilin@fashionspark.com
T112,LOS ANDES ,j01.losandes@fashionspark.com
T113,SAN FERNANDO ,j01.sanfernando@fashionspark.com
T114,VIVO CHILLAN,j01.vivochillan@fashionspark.com
T115,LINCOYAN II,j01.concepcion@fashionspark.com
T116,VILLARRICA DOS,j01.villarrica.dos@fashionspark.com
T119,HUERFANOS,j01.huerfanos@fashionspark.com
T120,RENGO,j01.rengo@fashionspark.com
